Brand,Name,Picture,Year,Categorys,Note,,
Creed,Tubereuse Indiana,o.4255.jpg,1980,"[""tuberose"", ""animalic"", ""amber"", ""white floral"", ""vanilla""]","{""middle"": [""Indian Tuberose""], ""base"": [""Vanilla"", ""Ambergris""], ""top"": [""Bergamot""]}","[""0"", ""6"", ""2"", ""3"", ""9""]","[""3"", ""5"", ""8"", ""10""]"
Creed,Vanisia,o.4256.jpg,1987,"[""amber"", ""woody"", ""powdery"", ""animalic"", ""balsamic""]","{""middle"": [""Jasmine"", ""Bulgarian Rose""], ""base"": [""Sandalwood"", ""Amber"", ""Vanille"", ""Ambergris""], ""top"": [""Bergamot""]}","[""2"", ""0"", ""5"", ""7"", ""8""]","[""3"", ""9"", ""12"", ""11""]"
Creed,Vetiver,o.7515.jpg,1948,"[""woody"", ""citrus"", ""fresh spicy"", ""aromatic"", ""green"", ""amber""]","{""middle"": [""Ginger""], ""base"": [""vetyver"", ""Virginia Cedar"", ""Ambergris""], ""top"": [""Citruses"", ""Bergamot""]}","[""4"", ""5"", ""4"", ""2"", ""2""]","[""4"", ""10"", ""5"", ""3""]"
Creed,Viking,o.41698.jpg,2016,"[""woody"", ""fruity"", ""amber"", ""salty"", ""animalic""]","{""middle"": [""Driftwood"", ""Salt"", ""Rose"", ""Fruity Notes""], ""base"": [""Ambergris"", ""Oakmoss"", ""Sandalwood"", ""Sea Salt""], ""top"": [""Bergamot"", ""Black Currant"", ""Pink Pepper""]}","[""3"", ""2"", ""2"", ""4"", ""3""]","[""6"", ""3"", ""9"", ""5""]"
Creed,Vintage Tabarome,o.8891.jpg,1875,"[""woody"", ""fresh spicy"", ""citrus"", ""balsamic"", ""amber""]","{""middle"": [""Pepper""], ""base"": [""Sandalwood"", ""oak moss"", ""Amber""], ""top"": [""Bergamot"", ""Citruses""]}","[""4"", ""2"", ""2"", ""2"", ""12""]","[""3"", ""4"", ""9"", ""9""]"
Creed,Virgin Island Water,o.899.jpg,2007,"[""citrus"", ""sweet"", ""coconut"", ""tropical"", ""fresh spicy""]","{""middle"": [""Ginger"", ""Indian Jasmine"", ""Hibiscus"", ""Ylang-Ylang""], ""base"": [""Musk"", ""Sugar Cane"", ""White Rum""], ""top"": [""Lime"", ""Coconut"", ""Sicilian Mandarin"", ""White Bergamot""]}","[""58"", ""67"", ""165"", ""220"", ""31""]","[""170"", ""283"", ""89"", ""57""]"
Creed,Windsor,o.7031.jpg,2009,"[""woody"", ""aromatic"", ""rose"", ""citrus"", ""camphor""]","{""middle"": [""Rose""], ""base"": [""Orange"", ""Eucalyptus"", ""Cedar""], ""top"": [""Gin"", ""Pine"", ""Lime""]}","[""2"", ""5"", ""14"", ""4"", ""8""]","[""7"", ""22"", ""7"", ""9""]"
Creed,Zeste Mandarine,o.7274.jpg,1999,"[""citrus"", ""fresh"", ""fresh spicy""]","[""Citruses""]","[""1"", ""1"", ""3"", ""0"", ""0""]","[""0"", ""0"", ""3"", ""0""]"
Creed,Zeste Mandarine Pamplemousse,o.4257.jpg,1975,"[""citrus"", ""white floral"", ""fresh spicy"", ""animalic"", ""amber""]","{""middle"": [""White Flowers""], ""base"": [""Ambergris""], ""top"": [""Bergamot"", ""Grapefruit"", ""Mandarin Orange""]}","[""1"", ""1"", ""12"", ""1"", ""0""]","[""0"", ""12"", ""3"", ""3""]"
Creed,Aberdeen Lavender,o.24782.jpg,2014,"[""aromatic"", ""fresh spicy"", ""white floral"", ""herbal"", ""woody"", ""floral""]","{""middle"": [""Lavender"", ""Lily"", ""Tuberose"", ""Rose""], ""base"": [""Patchouli"", ""Leather"", ""Vetiver""], ""top"": [""Bergamot"", ""Rosemary"", ""Lemon"", ""Artemisia""]}","[""2"", ""2"", ""5"", ""14"", ""5""]","[""5"", ""24"", ""5"", ""6""]"
Creed,Asian Green Tea,o.24780.jpg,2014,"[""citrus"", ""green"", ""floral"", ""fruity"", ""ozonic"", ""fresh""]","{""middle"": [""Violet"", ""Green Tea"", ""Heliotrope"", ""Rose"", ""Black Currant""], ""base"": [""Sandalwood"", ""Musk"", ""Amber""], ""top"": [""Bergamot"", ""Mandarin Orange"", ""Lemon"", ""Neroli""]}","[""1"", ""9"", ""9"", ""7"", ""3""]","[""7"", ""17"", ""5"", ""4""]"
Creed,Cedre Blanc,o.24781.jpg,2014,"[""aromatic"", ""woody"", ""fresh spicy"", ""citrus"", ""green""]","{""middle"": [""Geranium"", ""Lily"", ""Jasmine""], ""base"": [""Cedar"", ""Vetiver"", ""Sandalwood""], ""top"": [""Bergamot"", ""Cardamom"", ""Galbanum"", ""Bay Leaf""]}","[""8"", ""9"", ""10"", ""3"", ""3""]","[""16"", ""10"", ""6"", ""3""]"
Creed,Iris Tubereuse,o.24784.jpg,2014,"[""white floral"", ""tuberose"", ""green"", ""ozonic"", ""animalic"", ""citrus""]","{""middle"": [""Tuberose"", ""Lily-of-the-Valley"", ""Lily""], ""base"": [""Musk"", ""Orange Blossom"", ""Vanilla""], ""top"": [""Galbanum"", ""Orange"", ""Violet Leaf""]}","[""1"", ""3"", ""8"", ""10"", ""2""]","[""5"", ""16"", ""4"", ""4""]"
Creed,Vetiver Geranium,o.24783.jpg,2014,"[""fresh spicy"", ""aromatic"", ""citrus"", ""warm spicy"", ""woody"", ""green""]","{""middle"": [""Geranium"", ""Cinnamon"", ""Rose""], ""base"": [""Patchouli"", ""Cedar"", ""Musk"", ""Amber""], ""top"": [""Granny Smith apple"", ""Bergamot"", ""Lemon""]}","[""9"", ""4"", ""19"", ""29"", ""8""]","[""15"", ""36"", ""13"", ""7""]"
Creed,Jardin d Amalfi,o.13389.jpg,2011,"[""citrus"", ""woody"", ""green"", ""rose"", ""fruity"", ""aromatic""]","{""middle"": [""Virginia Cedar"", ""Apple"", ""Bulgarian Rose""], ""base"": [""Cinnamon"", ""Haitian Vetiver"", ""White Musk""], ""top"": [""Bergamot"", ""Pink Pepper"", ""Tangerine"", ""Neroli""]}","[""2"", ""6"", ""27"", ""41"", ""12""]","[""18"", ""53"", ""16"", ""18""]"
Creed,Original Cologne Pure White Cologne,o.13391.jpg,2011,"[""citrus"", ""fresh"", ""green"", ""aromatic"", ""fruity""]","{""middle"": [""Neroli"", ""Galbanum"", ""Pear""], ""base"": [""Rice"", ""Ambergris"", ""White Musk"", ""Powdery Notes""], ""top"": [""Grapefruit"", ""Lemon"", ""Sicilian Bergamot""]}","[""0"", ""4"", ""19"", ""14"", ""9""]","[""7"", ""28"", ""13"", ""9""]"
Creed,Royal Service,o.13613.jpg,2011,"[""citrus"", ""musky"", ""floral"", ""powdery"", ""fresh spicy"", ""amber""]","{""middle"": [""iris"", ""Neroli"", ""Narcissus""], ""base"": [""Musk"", ""Amber""], ""top"": [""Bergamot"", ""Grapefruit"", ""Bitter Orange""]}","[""1"", ""3"", ""1"", ""1"", ""7""]","[""1"", ""3"", ""6"", ""5""]"
Creed,Spice and Wood,o.10101.jpg,2010,"[""woody"", ""fresh spicy"", ""citrus"", ""leather"", ""musky"", ""powdery""]","{""middle"": [""Birch"", ""Patchouli"", ""Angelica"", ""Clove"", ""Pepper""], ""base"": [""Musk"", ""iris"", ""oak moss"", ""Cedar""], ""top"": [""Bergamot"", ""Lemon"", ""Apple""]}","[""9"", ""13"", ""32"", ""47"", ""14""]","[""44"", ""56"", ""28"", ""18""]"
Creed,Sublime Vanille,o.7024.jpg,2009,"[""vanilla"", ""citrus"", ""aromatic"", ""sweet"", ""balsamic"", ""powdery""]","{""middle"": [""Tonka Bean""], ""base"": [""Musk"", ""Bergamot"", ""Lemon""], ""top"": [""Bourbon Vanilla"", ""Vanilla orchid""]}","[""5"", ""7"", ""21"", ""23"", ""2""]","[""36"", ""30"", ""8"", ""13""]"
Creed,White Flowers,o.13390.jpg,2011,"[""green"", ""yellow floral"", ""white floral"", ""aromatic"", ""citrus""]","{""middle"": [""Geranium"", ""Italian Jasmine"", ""Moroccan Jasmine"", ""Bulgarian Rose""], ""base"": [""Musk"", ""Narcissus"", ""Sandalwood""], ""top"": [""Violet Leaf"", ""Green Apple"", ""Lemon""]}","[""2"", ""3"", ""3"", ""6"", ""2""]","[""4"", ""7"", ""9"", ""7""]"
D S Durga,,o.8801.jpg,,"[""musky"", ""tuberose"", ""balsamic"", ""white floral"", ""animalic""]","[""Musk"", ""Tuberose"", ""Styrax"", ""Tonka Bean"", ""Leather""]","[""3"", ""0"", ""0"", ""1"", ""1""]","[""2"", ""1"", ""1"", ""1""]"
D S Durga,1538 Rheims,o.9182.jpg,,"[""musky"", ""powdery"", ""floral"", ""white floral"", ""patchouli""]","[""Musk"", ""iris"", ""Patchouli"", ""Ginger"", ""Lily""]","[""0"", ""0"", ""1"", ""0"", ""1""]","[""0"", ""1"", ""0"", ""1""]"
D S Durga,Barbados,o.8802.jpg,,"[""fresh spicy"", ""woody"", ""balsamic"", ""powdery"", ""citrus""]","[""Sandalwood"", ""Nutmeg"", ""Lime"", ""Bay Leaf"", ""Rum""]","[""1"", ""0"", ""0"", ""0"", ""1""]","[""0"", ""1"", ""0"", ""0""]"
D S Durga,Beartrapper,o.8803.jpg,,"[""citrus"", ""leather"", ""woody"", ""aromatic"", ""fresh spicy""]","[""Virginia Cedar"", ""Amalfi Lemon"", ""Yuzu"", ""Tarragon"", ""Leather""]","[""0"", ""0"", ""0"", ""0"", ""1""]","[""0"", ""1"", ""1"", ""0""]"
D S Durga,Beverly Hills 1985,o.9050.jpg,2010,"[""warm spicy"", ""amber"", ""white floral"", ""animalic"", ""powdery"", ""fruity""]","[""Jasmine"", ""Amber"", ""Clove"", ""Peach""]","[""0"", ""0"", ""0"", ""0"", ""0""]","[""0"", ""0"", ""0"", ""2""]"
D S Durga,Boston Ivy,o.12017.jpg,2011,"[""green"", ""woody"", ""marine"", ""floral"", ""fresh""]","[""oak moss"", ""Clover"", ""Ivy"", ""Sea water""]","[""2"", ""3"", ""2"", ""1"", ""4""]","[""4"", ""9"", ""3"", ""3""]"
D S Durga,Bowmakers,o.22058.jpg,2013,"[""woody"", ""balsamic"", ""aromatic"", ""leather"", ""sweet"", ""nutty""]","[""Mahogany"", ""Maple"", ""Pine Tree"", ""resins"", ""Walnut"", ""Leather"", ""Woody Notes""]","[""1"", ""3"", ""8"", ""7"", ""1""]","[""8"", ""11"", ""5"", ""3""]"
D S Durga,Burning Barbershop,o.8807.jpg,2010,"[""aromatic"", ""fresh spicy"", ""citrus"", ""vanilla"", ""green""]","[""Lavender"", ""Vanille"", ""Lime"", ""Mint""]","[""5"", ""2"", ""7"", ""4"", ""9""]","[""4"", ""11"", ""10"", ""4""]"
D S Durga,Cedar,o.8799.jpg,2000,"[""rose"", ""woody"", ""floral"", ""powdery"", ""citrus""]","[""Virginia Cedar"", ""Rose""]","[""0"", ""0"", ""0"", ""0"", ""0""]","[""0"", ""0"", ""0"", ""1""]"
D S Durga,Colorado Florida,o.28853.jpg,2011,"[""aromatic"", ""floral"", ""woody"", ""fresh spicy"", ""herbal"", ""earthy""]","{""middle"": [""Myrtle"", ""Cedar"", ""Rose""], ""base"": [""Osmanthus"", ""Pine Tree"", ""Ambergris""], ""top"": [""Lavender"", ""Soil tincture""]}","[""0"", ""1"", ""0"", ""0"", ""0""]","[""0"", ""0"", ""0"", ""0""]"
D S Durga,Coriander,o.8798.jpg,,"[""aromatic"", ""green"", ""marine"", ""soft spicy"", ""citrus""]","[""Green Notes"", ""Coriander"", ""litsea cubeba"", ""Sea Notes""]","[""1"", ""2"", ""0"", ""1"", ""4""]","[""2"", ""1"", ""2"", ""5""]"
D S Durga,Cowboy Grass,o.8805.jpg,,"[""aromatic"", ""woody"", ""herbal"", ""green"", ""earthy"", ""soft spicy""]","[""vetyver"", ""Sage"", ""Clary Sage"", ""Thyme""]","[""1"", ""1"", ""1"", ""2"", ""11""]","[""1"", ""11"", ""3"", ""8""]"
D S Durga,Cowgirl Grass,o.8793.jpg,,"[""aromatic"", ""tuberose"", ""woody"", ""white floral"", ""green"", ""earthy""]","[""vetyver"", ""Tuberose"", ""Sage"", ""Rose""]","[""2"", ""0"", ""2"", ""0"", ""0""]","[""2"", ""2"", ""0"", ""0""]"
D S Durga,Debaser,o.29736.jpg,2015,"[""woody"", ""sweet"", ""fruity"", ""coconut"", ""tropical"", ""powdery""]","[""Fig"", ""iris"", ""Coconut Milk"", ""Tonka Bean"", ""White Woods""]","[""1"", ""1"", ""6"", ""10"", ""2""]","[""1"", ""12"", ""7"", ""5""]"
D S Durga,East Mid East,o.9179.jpg,,"[""warm spicy"", ""citrus"", ""rose"", ""leather"", ""tobacco""]","[""Saffron"", ""Cardamom"", ""Mandarin Orange"", ""Rose""]","[""0"", ""0"", ""0"", ""0"", ""1""]","[""1"", ""1"", ""0"", ""0""]"
D S Durga,El Cosmico,o.32535.jpg,2015,"[""woody"", ""aromatic"", ""sand"", ""fresh spicy"", ""earthy""]","{""middle"": [""Oak"", ""Khella"", ""Woody Notes""], ""base"": [""Sand"", ""Khella""], ""top"": [""Pepper"", ""Pine""]}","[""0"", ""0"", ""1"", ""0"", ""0""]","[""0"", ""2"", ""0"", ""0""]"
D S Durga,Empress Jingu,o.10234.jpg,,"[""woody"", ""aromatic"", ""powdery"", ""fresh spicy"", ""floral""]","[""Hinoki Wood"", ""Violet"", ""Cypress""]","[""0"", ""0"", ""0"", ""0"", ""4""]","[""4"", ""1"", ""0"", ""0""]"
D S Durga,Eve s Saint L Orange,o.28856.jpg,2014,"[""citrus"", ""fresh"", ""fresh spicy""]","[""Citruses""]","[""0"", ""0"", ""0"", ""0"", ""0""]","[""0"", ""0"", ""0"", ""0""]"
D S Durga,Five Step Waltz,o.12009.jpg,2011,"[""aromatic"", ""white floral"", ""fresh spicy"", ""rose"", ""amber"", ""vanilla""]","[""Lavender"", ""Jasmine"", ""Amber"", ""Vanille"", ""Rose""]","[""0"", ""0"", ""0"", ""0"", ""1""]","[""0"", ""0"", ""1"", ""1""]"
D S Durga,Foxhunt,o.10233.jpg,,"[""patchouli"", ""leather"", ""floral"", ""green"", ""warm spicy""]","[""Green Notes"", ""Floral Notes"", ""Leather"", ""Patchouli""]","[""0"", ""0"", ""0"", ""0"", ""1""]","[""0"", ""1"", ""1"", ""1""]"
D S Durga,Freetrapper,o.12015.jpg,2011,"[""woody"", ""aromatic"", ""citrus"", ""fresh spicy"", ""green""]","[""Virginia Cedar"", ""Bergamot"", ""Pine""]","[""3"", ""0"", ""3"", ""1"", ""1""]","[""4"", ""6"", ""0"", ""1""]"
D S Durga,Grapefruit,o.8797.jpg,,"[""citrus"", ""fruity"", ""floral"", ""sweet"", ""sour""]","[""Grapefruit"", ""Floral Notes"", ""Fruity Notes""]","[""2"", ""0"", ""0"", ""0"", ""4""]","[""2"", ""0"", ""1"", ""4""]"
D S Durga,Italian Citrus,o.12014.jpg,2011,"[""citrus"", ""musky"", ""fresh"", ""green"", ""amber""]","[""Bitter Orange"", ""Citruses"", ""Mandarin Orange"", ""Amalfi Lemon"", ""Ambrette (Musk Mallow)"", ""Musk"", ""Blood Orange"", ""Green Notes""]","[""0"", ""2"", ""4"", ""3"", ""6""]","[""3"", ""7"", ""3"", ""3""]"
D S Durga,J Crew Homesteader s Cologne,o.20608.jpg,2013,"[""woody"", ""aromatic"", ""camphor"", ""fresh spicy"", ""marine""]","[""Cypress"", ""Eucalyptus"", ""Sage"", ""Woody Notes"", ""Seaweed""]","[""2"", ""0"", ""0"", ""1"", ""1""]","[""2"", ""0"", ""4"", ""1""]"
D S Durga,Juniper,o.8811.jpg,,"[""woody"", ""aromatic"", ""fresh spicy"", ""green"", ""balsamic""]","[""Juniper"", ""Juniper Berries"", ""Pine"", ""Maple""]","[""0"", ""0"", ""0"", ""0"", ""0""]","[""0"", ""0"", ""1"", ""0""]"
D S Durga,Lady Greystock,o.12113.jpg,2011,"[""powdery"", ""floral"", ""woody"", ""amber"", ""animalic""]","[""Amber"", ""Orris Root"", ""Violet""]","[""0"", ""0"", ""1"", ""0"", ""4""]","[""0"", ""1"", ""3"", ""1""]"
D S Durga,M Head Reds,o.8806.jpg,,"[""woody"", ""citrus"", ""soft spicy"", ""white floral"", ""earthy"", ""sweet""]","[""African Orange flower"", ""Bergamot"", ""Anise"", ""oak moss"", ""Guaiac Wood""]","[""0"", ""0"", ""0"", ""0"", ""0""]","[""0"", ""0"", ""1"", ""0""]"
D S Durga,Mississippi Medicine,o.12013.jpg,2011,"[""smoky"", ""woody"", ""balsamic"", ""leather"", ""aromatic""]","[""Birch"", ""Incense"", ""Violet"", ""Cypress""]","[""3"", ""2"", ""12"", ""7"", ""6""]","[""12"", ""16"", ""4"", ""4""]"
D S Durga,My Indian Childhood,o.8796.jpg,,"[""floral"", ""patchouli"", ""yellow floral"", ""tobacco"", ""sweet""]","[""Osmanthus"", ""Pandanus"", ""Patchouli"", ""Galbanum"", ""Tobacco"", ""Champaca""]","[""2"", ""0"", ""0"", ""1"", ""6""]","[""3"", ""3"", ""2"", ""5""]"
D S Durga,Orris Root,o.8812.jpg,,"[""powdery"", ""woody"", ""floral""]","[""Orris Root""]","[""0"", ""0"", ""1"", ""0"", ""1""]","[""1"", ""1"", ""1"", ""2""]"
D S Durga,Osmanthus,o.12016.jpg,2011,"[""aromatic"", ""fresh spicy"", ""floral"", ""citrus"", ""white floral"", ""fresh""]","[""Citruses"", ""African Orange flower"", ""Lavender"", ""Osmanthus"", ""Rosemary""]","[""0"", ""0"", ""0"", ""0"", ""8""]","[""0"", ""1"", ""1"", ""7""]"
D S Durga,Petitgrain Sur Fleur,o.9211.jpg,2010,"[""white floral"", ""citrus"", ""woody"", ""aromatic"", ""tuberose""]","[""African Orange flower"", ""Woodsy Notes"", ""Lavender"", ""Tuberose"", ""Petitgrain""]","[""0"", ""1"", ""1"", ""1"", ""2""]","[""0"", ""4"", ""2"", ""0""]"
D S Durga,Pomelo Blossom,o.9210.jpg,2010,"[""white floral"", ""musky"", ""citrus"", ""animalic"", ""fresh"", ""fresh spicy""]","[""Musk"", ""Jasmine"", ""Grapefruit""]","[""2"", ""0"", ""1"", ""0"", ""0""]","[""2"", ""1"", ""0"", ""0""]"
D S Durga,Poppy Rouge,o.12010.jpg,2011,"[""white floral"", ""citrus"", ""musky"", ""floral"", ""powdery"", ""green""]","[""African Orange flower"", ""Narcissus"", ""Violet"", ""Neroli"", ""White Musk""]","[""0"", ""0"", ""4"", ""0"", ""4""]","[""1"", ""2"", ""3"", ""4""]"
D S Durga,Radio Bombay,o.39430.jpg,2016,"[""woody"", ""musky"", ""powdery"", ""amber"", ""coconut"", ""balsamic""]","{""middle"": [""Sandalwood"", ""iris"", ""Boronia"", ""Peach""], ""base"": [""Ambrette (Musk Mallow)"", ""Sandalwood"", ""Ambergris"", ""Balsam Fir"", ""Musk"", ""Coconut""], ""top"": [""Woody Notes"", ""Cedar""]}","[""0"", ""1"", ""1"", ""2"", ""0""]","[""2"", ""2"", ""0"", ""1""]"
D S Durga,Resin,o.8800.jpg,,"[""balsamic"", ""smoky"", ""sweet"", ""woody""]","[""Copahu Balm"", ""Myrhh""]","[""0"", ""0"", ""0"", ""0"", ""1""]","[""0"", ""1"", ""0"", ""0""]"
D S Durga,Rosa Americana,o.8795.jpg,,"[""herbal"", ""rose"", ""bitter"", ""floral"", ""citrus""]","[""Artemisia"", ""Rose""]","[""0"", ""0"", ""0"", ""0"", ""0""]","[""0"", ""0"", ""0"", ""0""]"
D S Durga,Rose Atlantic,o.39837.jpg,2016,"[""marine"", ""citrus"", ""rose"", ""salty"", ""aromatic"", ""green""]","{""middle"": [""Lime (Linden) Blossom"", ""Salt"", ""Rose"", ""Grass""], ""base"": [""Musk"", ""Sea water"", ""Oakmoss""], ""top"": [""Bergamot"", ""Rose Petals"", ""Lemon""]}","[""1"", ""3"", ""1"", ""0"", ""0""]","[""3"", ""2"", ""1"", ""0""]"
D S Durga,Royal Purpure,o.9180.jpg,,"[""woody"", ""green"", ""aromatic"", ""fresh"", ""milky"", ""fresh spicy""]","[""Virginia Cedar"", ""Fig Leaf"", ""Cypress"", ""Pine""]","[""2"", ""1"", ""1"", ""0"", ""0""]","[""2"", ""3"", ""2"", ""0""]"
D S Durga,Shake Shake Senora,o.9212.jpg,2010,"[""vanilla"", ""sweet"", ""floral"", ""amber"", ""powdery"", ""coconut""]","[""Amber"", ""Vanille"", ""Lime"", ""Heliotrope"", ""Coconut"", ""Orchid"", ""Marigold""]","[""0"", ""0"", ""1"", ""0"", ""0""]","[""0"", ""1"", ""1"", ""1""]"
D S Durga,Siberian Snow,o.8794.jpg,,"[""balsamic"", ""woody"", ""green"", ""powdery"", ""amber""]","[""Green Notes"", ""Floral Notes"", ""Woodsy Notes"", ""Jasmine"", ""Mint"", ""Amber"", ""Sandalwood"", ""Powdery Notes"", ""Incense""]","[""0"", ""2"", ""2"", ""1"", ""6""]","[""4"", ""5"", ""3"", ""4""]"
D S Durga,Silent Grove,o.8792.jpg,,"[""floral"", ""green"", ""woody"", ""sweet"", ""fresh""]","[""Virginia Cedar"", ""Tea"", ""Lime (Linden) Blossom"", ""Woody Notes"", ""Lotus"", ""Grass""]","[""1"", ""0"", ""3"", ""1"", ""3""]","[""1"", ""4"", ""3"", ""3""]"
D S Durga,Sir,o.12012.jpg,2011,"[""balsamic"", ""patchouli"", ""green"", ""amber"", ""white floral""]","[""Jasmine"", ""Patchouli"", ""Amber"", ""watercress"", ""Styrax"", ""Galbanum"", ""Mace""]","[""2"", ""0"", ""0"", ""4"", ""4""]","[""3"", ""3"", ""1"", ""4""]"
D S Durga,Smoked Amber,o.9181.jpg,,"[""balsamic"", ""smoky"", ""leather"", ""sweet"", ""woody"", ""warm spicy""]","[""Opoponax"", ""Incense"", ""Resin"", ""Birch""]","[""1"", ""0"", ""0"", ""0"", ""4""]","[""0"", ""2"", ""2"", ""2""]"
D S Durga,Spent Musket Oil,o.14408.jpg,2012,"[""leather"", ""tobacco"", ""smoky"", ""musky"", ""sweet""]","[""Musk"", ""Birch"", ""Tobacco"", ""Leather""]","[""3"", ""2"", ""1"", ""0"", ""3""]","[""4"", ""1"", ""4"", ""4""]"
D S Durga,Spirit Lamp,o.42251.jpg,2016,"[""metallic"", ""musky"", ""fresh spicy"", ""coconut"", ""powdery"", ""tropical""]","{""middle"": [""Coconut Milk"", ""White Ginger""], ""base"": [""Musk""], ""top"": [""Petitgrain"", ""iris"", ""Metallic notes""]}","[""0"", ""0"", ""0"", ""0"", ""1""]","[""0"", ""0"", ""0"", ""1""]"
D S Durga,Staghorn Sumac,o.28854.jpg,2011,"[""musky"", ""white floral"", ""green"", ""fresh"", ""soft spicy""]","{""middle"": [""Lily""], ""base"": [""Musk"", ""Sumac""], ""top"": [""Grass""]}","[""0"", ""0"", ""0"", ""0"", ""1""]","[""1"", ""0"", ""0"", ""1""]"
D S Durga,Tanng Sport,o.28857.jpg,2014,"[""citrus"", ""fresh"", ""fresh spicy""]","[""Citruses""]","[""0"", ""0"", ""0"", ""0"", ""0""]","[""0"", ""0"", ""0"", ""0""]"
D S Durga,The Orchid Drinkers,o.12011.jpg,2011,"[""green"", ""citrus"", ""woody"", ""powdery"", ""floral""]","[""Sandalwood"", ""Bergamot"", ""Tea"", ""Orchid""]","[""0"", ""0"", ""1"", ""0"", ""1""]","[""0"", ""1"", ""0"", ""0""]"
D S Durga,Vetyver,o.8810.jpg,,"[""woody"", ""aromatic"", ""green"", ""earthy"", ""fresh spicy""]","[""vetyver""]","[""2"", ""0"", ""0"", ""0"", ""0""]","[""2"", ""0"", ""1"", ""0""]"
D S Durga,When a Mandarin Loves a Woman,o.28855.jpg,2014,"[""citrus"", ""fresh"", ""fresh spicy""]","{""middle"": null, ""base"": null, ""top"": [""Citruses""]}","[""0"", ""0"", ""0"", ""0"", ""0""]","[""0"", ""0"", ""0"", ""0""]"
D S Durga,White Peacock Lily,o.39838.jpg,2016,"[""white floral"", ""floral"", ""aquatic"", ""sweet"", ""fresh"", ""vanilla""]","{""middle"": [""White Lily"", ""Whipped cream"", ""Egyptian Jasmine"", ""Violet""], ""base"": [""Ambrette (Musk Mallow)"", ""Vanilla"", ""Watery Notes""], ""top"": [""Nerium Oleander"", ""Cabreuva"", ""Grapefruit""]}","[""1"", ""0"", ""0"", ""0"", ""2""]","[""1"", ""0"", ""2"", ""2""]"
D S Durga,Bitter Rose Broken Spear,o.18361.jpg,2013,"[""woody"", ""rose"", ""amber"", ""fresh spicy"", ""herbal""]","{""middle"": [""Nutmeg"", ""Rose"", ""Thistle""], ""base"": [""Amber"", ""Larch"", ""Hot iron""], ""top"": [""Thyme"", ""Ember"", ""Cubeb or Tailed pepper""]}","[""1"", ""1"", ""2"", ""3"", ""3""]","[""3"", ""6"", ""1"", ""2""]"
D S Durga,Foxglove,o.28852.jpg,2014,"[""citrus"", ""powdery"", ""woody"", ""sweet"", ""floral""]","{""middle"": [""iris"", ""Neroli"", ""Champaca""], ""base"": [""Suede"", ""Peach"", ""Ambergris"", ""Immortelle""], ""top"": [""Citron"", ""Palisander Rosewood""]}","[""3"", ""0"", ""4"", ""0"", ""1""]","[""6"", ""2"", ""1"", ""1""]"
D S Durga,Isle Ryder,o.18362.jpg,2013,"[""woody"", ""white floral"", ""aromatic"", ""fresh"", ""floral""]","{""middle"": [""Jasmine"", ""Spruce"", ""Dyer\u2019s Greenweed""], ""base"": [""Bulrush"", ""Honey""], ""top"": [""Poplar (Populus) buds"", ""Fir"", ""Wildflowers""]}","[""3"", ""1"", ""1"", ""5"", ""2""]","[""8"", ""7"", ""4"", ""2""]"
D S Durga,Pale Grey Mountain Small Black Lake,o.18360.jpg,2013,"[""aquatic"", ""woody"", ""fresh"", ""earthy"", ""herbal""]","{""middle"": [""heather"", ""Water pepper"", ""Violet"", ""Blackberry"", ""Beech""], ""base"": [""Water Notes"", ""Portulaca or Pigweed""], ""top"": [""Oakmoss"", ""Water Notes""]}","[""3"", ""4"", ""6"", ""0"", ""6""]","[""9"", ""7"", ""1"", ""5""]"
D S Durga,Spirit of the Glen,o.21756.jpg,2013,"[""woody"", ""herbal"", ""green"", ""whiskey"", ""aromatic""]","{""middle"": [""Oak"", ""Chamomile"", ""Hay""], ""base"": [""Malt"", ""Coal"", ""Woody Notes"", ""Whiskey"", ""Oak""], ""top"": [""Pear"", ""Grass"", ""Pineapple""]}","[""3"", ""1"", ""4"", ""4"", ""5""]","[""5"", ""8"", ""5"", ""3""]"
Demeter Fragrance,Aloe Vera,o.27573.jpg,2014,"[""woody"", ""green"", ""aquatic"", ""bitter""]","[""Aloe Vera""]","[""0"", ""0"", ""1"", ""0"", ""0""]","[""0"", ""0"", ""0"", ""0""]"
Demeter Fragrance,Always Calm,o.7722.jpg,,"[""aromatic"", ""green"", ""fresh spicy"", ""citrus"", ""floral""]","[""Tea"", ""Lavender"", ""Lime"", ""vetyver""]","[""0"", ""0"", ""0"", ""0"", ""1""]","[""0"", ""0"", ""0"", ""0""]"
Demeter Fragrance,Always Energetic,o.7723.jpg,,"[""fresh spicy"", ""aromatic"", ""soft spicy"", ""herbal"", ""warm spicy""]","[""Ginger"", ""Coriander""]","[""0"", ""0"", ""0"", ""0"", ""0""]","[""0"", ""1"", ""0"", ""1""]"
Demeter Fragrance,Always Focused,o.7724.jpg,,"[""green"", ""fresh spicy"", ""citrus"", ""herbal"", ""fresh""]","[""Grapefruit"", ""Basil"", ""Green Notes""]","[""0"", ""1"", ""1"", ""0"", ""0""]","[""0"", ""2"", ""1"", ""1""]"
Demeter Fragrance,Always Happy,o.7720.jpg,,"[""aromatic"", ""fresh spicy"", ""green"", ""herbal"", ""fruity""]","[""Red Apple"", ""Celery"", ""Geranium"", ""Petitgrain""]","[""0"", ""2"", ""0"", ""0"", ""0""]","[""2"", ""0"", ""0"", ""0""]"
