Brand,Name,Picture,Year,Categorys,Note,,
Acqua di Parma,Colonia Assoluta Edizione Speciale 2013,o.19636.jpg,2013,"[""citrus"", ""woody"", ""warm spicy"", ""aromatic"", ""earthy""]","{""middle"": [""Pimento"", ""Pink Pepper"", ""Ylang-Ylang"", ""Jasmine"", ""Vetiver"", ""Cedar"", ""Cardamom""], ""base"": [""Moss"", ""Musk"", ""Amber"", ""Patchouli""], ""top"": [""Sweet Orange"", ""Bitter Orange"", ""Bergamot"", ""Lemon Verbena""]}","[""3"", ""0"", ""0"", ""0"", ""0""]","[""1"", ""0"", ""2"", ""0""]"
Acqua di Parma,Colonia Assoluta In Villa,o.5859.jpg,2009,"[""citrus"", ""woody"", ""warm spicy"", ""fresh"", ""fresh spicy""]","[""Citruses"", ""Woodsy Notes"", ""Spices""]","[""0"", ""0"", ""0"", ""3"", ""0""]","[""1"", ""4"", ""0"", ""0""]"
Acqua di Parma,Colonia Club,o.31424.jpg,2015,"[""aromatic"", ""fresh spicy"", ""green"", ""citrus"", ""floral""]","{""middle"": [""Geranium"", ""Lavender"", ""Galbanum""], ""base"": [""Ambergris"", ""Musk"", ""Haitian Vetiver""], ""top"": [""Bergamot"", ""Lemon"", ""Petitgrain"", ""Mandarin Orange"", ""Mint"", ""Neroli""]}","[""5"", ""7"", ""21"", ""14"", ""4""]","[""13"", ""34"", ""15"", ""10""]"
Acqua di Parma,Colonia Essenza Special Edition 2015,o.31663.jpg,2015,"[""citrus"", ""aromatic"", ""woody"", ""fresh spicy"", ""white floral"", ""green""]","{""middle"": [""Rosemary"", ""Sage"", ""Neroli"", ""Jasmine"", ""Lily-of-the-Valley"", ""Rose""], ""base"": [""Vetiver"", ""Patchouli"", ""Amber"", ""Musk"", ""Cloves"", ""Moss""], ""top"": [""Bergamot"", ""Grapefruit"", ""Orange"", ""Mandarin Orange"", ""Petitgrain""]}","[""0"", ""1"", ""1"", ""4"", ""2""]","[""1"", ""4"", ""2"", ""3""]"
Acqua di Parma,Colonia Intensa,o.1684.jpg,2007,"[""citrus"", ""fresh spicy"", ""warm spicy"", ""woody"", ""aromatic""]","{""middle"": [""Myrhh"", ""Artemisia"", ""Neroli"", ""Guaiac Wood"", ""Cedar""], ""base"": [""Leather"", ""Patchouli"", ""Benzoin"", ""Musk""], ""top"": [""Bergamot"", ""Citruses"", ""Cardamom"", ""Ginger"", ""Sicilian Lemon""]}","[""8"", ""12"", ""41"", ""61"", ""14""]","[""17"", ""76"", ""36"", ""16""]"
Acqua di Parma,Essenza di Colonia,o.9829.jpg,2010,"[""citrus"", ""aromatic"", ""fresh spicy"", ""white floral"", ""woody""]","[""vetyver"", ""Petitgrain"", ""Musk"", ""Jasmine"", ""Neroli"", ""Patchouli"", ""Rosemary"", ""Sage"", ""Amber"", ""Bergamot"", ""Grapefruit"", ""Orange"", ""Mandarin Orange"", ""Rose"", ""Lily-of-the-Valley"", ""Cloves"", ""Oakmoss""]","[""8"", ""12"", ""57"", ""91"", ""25""]","[""22"", ""116"", ""56"", ""40""]"
Acqua di Parma,Gelsomino Nobile Edizione Speciale,o.23906.jpg,2014,"[""white floral"", ""citrus"", ""tuberose"", ""musky"", ""animalic""]","{""middle"": [""Jasmine"", ""Tuberose"", ""Orange Blossom""], ""base"": [""Cedar"", ""Musk""], ""top"": [""Mandarin Orange"", ""Pink Pepper""]}","[""0"", ""0"", ""1"", ""0"", ""1""]","[""2"", ""0"", ""0"", ""0""]"
Acqua di Parma,Iris Nobile 10th Anniversary Special Edition,o.25511.jpg,2014,"[""citrus"", ""floral"", ""powdery"", ""woody"", ""white floral"", ""sweet""]","{""middle"": [""Mimosa"", ""Hibiscus"", ""Orange Blossom"", ""Tuberose"", ""Cedar"", ""Ylang-Ylang""], ""base"": [""Amber"", ""Vanila""], ""top"": [""Bergamot"", ""Orange"", ""Mandarin Orange"", ""Star Anise"", ""Iris Flower""]}","[""1"", ""0"", ""0"", ""3"", ""2""]","[""0"", ""3"", ""0"", ""2""]"
Acqua di Parma,Iris Nobile Edizione Speziale,o.8383.jpg,2010,"[""woody"", ""powdery"", ""floral"", ""citrus"", ""yellow floral"", ""musky""]","{""middle"": [""iris"", ""Ylang-Ylang""], ""base"": [""Patchouli"", ""oak moss"", ""Ambrette (Musk Mallow)""], ""top"": [""Bergamot"", ""Mandarin Orange"", ""Anise""]}","[""0"", ""0"", ""0"", ""3"", ""1""]","[""0"", ""2"", ""0"", ""1""]"
Acqua di Parma,Iris Nobile Sublime,o.15724.jpg,2012,"[""white floral"", ""woody"", ""citrus"", ""powdery"", ""floral""]","{""middle"": [""Tuscan Iris"", ""Ylang-Ylang"", ""Jasmine Sambac"", ""Orange Blossom""], ""base"": [""Cedar"", ""Birch"", ""Black locust""], ""top"": [""Mandarin Orange"", ""Neroli""]}","[""0"", ""4"", ""13"", ""10"", ""6""]","[""5"", ""26"", ""4"", ""8""]"
